Config,Div,N,M,NNZ,MV (sec),SV (sec),Inspection (sec),Matrix Name,Method,Seq SV (sec),Cores,Test,
Sparse,2,101492,101492,874378,0.000163472,0.000447461,0.0439011,/home/m/mmehride/kazem/UFDB/SPD//2cubes_sphere.mtx,LBC,0.00133859,40,PASSED,
Sparse,4,101492,101492,874378,0.000196709,0.000425033,0.0423305,/home/m/mmehride/kazem/UFDB/SPD//2cubes_sphere.mtx,LBC,0.00134468,40,PASSED,
Sparse,6,101492,101492,874378,0.000154571,0.00048121,0.0443175,/home/m/mmehride/kazem/UFDB/SPD//2cubes_sphere.mtx,LBC,0.00133592,40,PASSED,
Sparse,8,101492,101492,874378,0.000162159,0.000458974,0.0434051,/home/m/mmehride/kazem/UFDB/SPD//2cubes_sphere.mtx,LBC,0.00133335,40,PASSED,
Sparse,10,101492,101492,874378,0.000226502,0.000478773,0.0433921,/home/m/mmehride/kazem/UFDB/SPD//2cubes_sphere.mtx,LBC,0.00132999,40,PASSED,
Sparse,20,101492,101492,874378,0.00010693,0.000617118,0.0438068,/home/m/mmehride/kazem/UFDB/SPD//2cubes_sphere.mtx,LBC,0.00170983,40,PASSED,
Sparse,50,101492,101492,874378,0.000134286,0.000572188,0.0463732,/home/m/mmehride/kazem/UFDB/SPD//2cubes_sphere.mtx,LBC,0.00134638,40,PASSED,
Sparse,100,101492,101492,874378,0.000161404,0.000648905,0.0471385,/home/m/mmehride/kazem/UFDB/SPD//2cubes_sphere.mtx,LBC,0.00133296,40,PASSED,
Sparse,200,101492,101492,874378,0.000162708,0.00109103,0.061235,/home/m/mmehride/kazem/UFDB/SPD//2cubes_sphere.mtx,LBC,0.00135768,40,PASSED,
Sparse,2,503625,503625,9027150,0.000857368,0.00130648,0.312751,/home/m/mmehride/kazem/UFDB/SPD//af_0_k101.mtx,LBC,0.0116995,40,PASSED,
Sparse,4,503625,503625,9027150,0.000851939,0.00144125,0.309459,/home/m/mmehride/kazem/UFDB/SPD//af_0_k101.mtx,LBC,0.0116488,40,PASSED,
Sparse,6,503625,503625,9027150,0.00091008,0.00143286,0.306215,/home/m/mmehride/kazem/UFDB/SPD//af_0_k101.mtx,LBC,0.0117161,40,PASSED,
Sparse,8,503625,503625,9027150,0.00106481,0.00159596,0.305633,/home/m/mmehride/kazem/UFDB/SPD//af_0_k101.mtx,LBC,0.0117439,40,PASSED,
Sparse,10,503625,503625,9027150,0.0009617,0.00150548,0.306255,/home/m/mmehride/kazem/UFDB/SPD//af_0_k101.mtx,LBC,0.0117245,40,PASSED,
Sparse,20,503625,503625,9027150,0.000932342,0.00153113,0.305706,/home/m/mmehride/kazem/UFDB/SPD//af_0_k101.mtx,LBC,0.0117588,40,PASSED,
Sparse,50,503625,503625,9027150,0.00125446,0.00199011,0.302401,/home/m/mmehride/kazem/UFDB/SPD//af_0_k101.mtx,LBC,0.0117132,40,PASSED,
