Config,N,M,NNZ,MV (sec),MV Inspection (sec),SV (sec),Inspection (sec),Matrix Name,Method,Cores,Test
Sparse MKL,101492,101492,874378,0.000178637,0,0.00181084,0.0192211,/home/m/mmehride/kazem/UFDB/SPD//2cubes_sphere.mtx,MKL,40,PASSED
Sparse MKL,503625,503625,9027150,0.00139324,0,0.00239807,0.106145,/home/m/mmehride/kazem/UFDB/SPD//af_0_k101.mtx,MKL,40,PASSED
Sparse MKL,503625,503625,9027150,0.00152651,0,0.00234286,0.109287,/home/m/mmehride/kazem/UFDB/SPD//af_1_k101.mtx,MKL,40,PASSED
Sparse MKL,503625,503625,9027150,0.00167775,0,0.00252399,0.117313,/home/m/mmehride/kazem/UFDB/SPD//af_2_k101.mtx,MKL,40,PASSED
Sparse MKL,503625,503625,9027150,0.000934007,0,0.00234336,0.10142,/home/m/mmehride/kazem/UFDB/SPD//af_3_k101.mtx,MKL,40,PASSED
Sparse MKL,503625,503625,9027150,0.00152623,0,0.00245762,0.109829,/home/m/mmehride/kazem/UFDB/SPD//af_4_k101.mtx,MKL,40,PASSED
Sparse MKL,503625,503625,9027150,0.00103084,0,0.00227994,0.109997,/home/m/mmehride/kazem/UFDB/SPD//af_5_k101.mtx,MKL,40,PASSED
Sparse MKL,504855,504855,9046865,0.00122323,0,0.00234865,0.10974,/home/m/mmehride/kazem/UFDB/SPD//af_shell3.mtx,MKL,40,PASSED
Sparse MKL,504855,504855,9046865,0.000876533,0,0.00230145,0.10157,/home/m/mmehride/kazem/UFDB/SPD//af_shell4.mtx,MKL,40,PASSED
Sparse MKL,504855,504855,9046865,0.00147581,0,0.00224359,0.108384,/home/m/mmehride/kazem/UFDB/SPD//af_shell7.mtx,MKL,40,PASSED
Sparse MKL,504855,504855,9046865,0.000898489,0,0.00230736,0.10422,/home/m/mmehride/kazem/UFDB/SPD//af_shell8.mtx,MKL,40,PASSED
Sparse MKL,715176,715176,2766523,0.000482222,0,0.0077552,0.118802,/home/m/mmehride/kazem/UFDB/SPD//apache2.mtx,MKL,40,PASSED
